filename,/data1/home/ypliu/DIODE/syn_data_result_test/day_02_04_2026_time_01_42_32_res512_finetune/coco/labels/train2014,/data1/home/ypliu/DIODE/syn_data_result_test/day_02_04_2026_time_02_12_06_res512_finetune/coco/labels/train2014,/data1/home/ypliu/DIODE/augmented_data/mosaic/labels,max,min,diff_max_min
mosaic_0000.txt,12,13,12,13,12,1
mosaic_0001.txt,6,8,6,8,6,2
mosaic_0002.txt,30,38,30,38,30,8
mosaic_0003.txt,8,9,8,9,8,1
mosaic_0004.txt,6,8,6,8,6,2
mosaic_0005.txt,5,10,5,10,5,5
mosaic_0006.txt,4,9,4,9,4,5
mosaic_0007.txt,18,21,17,21,17,4
mosaic_0008.txt,14,19,14,19,14,5
mosaic_0009.txt,9,14,9,14,9,5
mosaic_0010.txt,19,26,19,26,19,7
mosaic_0011.txt,10,16,9,16,9,7
mosaic_0012.txt,14,18,14,18,14,4
mosaic_0013.txt,10,15,10,15,10,5
mosaic_0014.txt,6,6,6,6,6,0
mosaic_0015.txt,15,22,15,22,15,7
mosaic_0016.txt,6,10,6,10,6,4
mosaic_0017.txt,5,8,5,8,5,3
mosaic_0018.txt,16,18,16,18,16,2
mosaic_0019.txt,6,10,6,10,6,4
mosaic_0020.txt,11,14,11,14,11,3
mosaic_0021.txt,8,11,8,11,8,3
mosaic_0022.txt,13,16,12,16,12,4
mosaic_0023.txt,6,7,6,7,6,1
mosaic_0024.txt,8,17,8,17,8,9
mosaic_0025.txt,15,19,15,19,15,4
mosaic_0026.txt,7,7,7,7,7,0
mosaic_0027.txt,15,23,15,23,15,8
mosaic_0028.txt,5,7,5,7,5,2
mosaic_0029.txt,9,13,9,13,9,4
mosaic_0030.txt,20,26,20,26,20,6
mosaic_0031.txt,10,18,10,18,10,8
mosaic_0032.txt,6,17,6,17,6,11
mosaic_0033.txt,10,11,10,11,10,1
mosaic_0034.txt,12,14,12,14,12,2
mosaic_0035.txt,10,18,10,18,10,8
mosaic_0036.txt,10,13,10,13,10,3
mosaic_0037.txt,13,16,13,16,13,3
mosaic_0038.txt,5,7,5,7,5,2
mosaic_0039.txt,9,10,9,10,9,1
mosaic_0040.txt,6,8,6,8,6,2
mosaic_0041.txt,31,36,29,36,29,7
mosaic_0042.txt,8,10,8,10,8,2
mosaic_0043.txt,9,10,9,10,9,1
mosaic_0044.txt,8,13,8,13,8,5
mosaic_0045.txt,9,13,9,13,9,4
mosaic_0046.txt,12,19,12,19,12,7
mosaic_0047.txt,11,17,11,17,11,6
mosaic_0048.txt,16,19,16,19,16,3
mosaic_0049.txt,5,10,5,10,5,5
mosaic_0050.txt,9,9,9,9,9,0
mosaic_0051.txt,13,17,13,17,13,4
mosaic_0052.txt,10,14,10,14,10,4
mosaic_0053.txt,8,9,8,9,8,1
mosaic_0054.txt,19,20,19,20,19,1
mosaic_0055.txt,10,16,10,16,10,6
mosaic_0056.txt,9,10,9,10,9,1
mosaic_0057.txt,21,24,20,24,20,4
mosaic_0058.txt,12,12,12,12,12,0
mosaic_0059.txt,17,16,16,17,16,1
mosaic_0060.txt,13,15,13,15,13,2
mosaic_0061.txt,9,10,9,10,9,1
mosaic_0062.txt,9,14,9,14,9,5
mosaic_0063.txt,17,22,17,22,17,5
mosaic_0064.txt,16,24,16,24,16,8
mosaic_0065.txt,10,14,10,14,10,4
mosaic_0066.txt,5,8,5,8,5,3
mosaic_0067.txt,12,23,12,23,12,11
mosaic_0068.txt,7,14,7,14,7,7
mosaic_0069.txt,10,12,10,12,10,2
mosaic_0070.txt,14,18,14,18,14,4
mosaic_0071.txt,5,16,5,16,5,11
mosaic_0072.txt,7,12,7,12,7,5
mosaic_0073.txt,8,10,8,10,8,2
mosaic_0074.txt,9,12,9,12,9,3
mosaic_0075.txt,7,7,7,7,7,0
mosaic_0076.txt,10,11,10,11,10,1
mosaic_0077.txt,6,8,6,8,6,2
mosaic_0078.txt,7,16,7,16,7,9
mosaic_0079.txt,5,7,5,7,5,2
mosaic_0080.txt,33,44,33,44,33,11
mosaic_0081.txt,10,16,10,16,10,6
mosaic_0082.txt,5,10,5,10,5,5
mosaic_0083.txt,13,21,13,21,13,8
mosaic_0084.txt,9,16,8,16,8,8
mosaic_0085.txt,7,13,7,13,7,6
mosaic_0086.txt,12,15,11,15,11,4
mosaic_0087.txt,14,18,14,18,14,4
mosaic_0088.txt,8,12,8,12,8,4
mosaic_0089.txt,14,15,14,15,14,1
mosaic_0090.txt,7,15,7,15,7,8
mosaic_0091.txt,5,8,5,8,5,3
mosaic_0092.txt,13,16,13,16,13,3
mosaic_0093.txt,10,13,10,13,10,3
mosaic_0094.txt,7,9,7,9,7,2
mosaic_0095.txt,8,11,8,11,8,3
mosaic_0096.txt,12,17,12,17,12,5
mosaic_0097.txt,9,14,9,14,9,5
mosaic_0098.txt,17,27,16,27,16,11
mosaic_0099.txt,6,11,6,11,6,5
mosaic_0100.txt,8,10,8,10,8,2
mosaic_0101.txt,6,13,6,13,6,7
mosaic_0102.txt,6,8,6,8,6,2
mosaic_0103.txt,9,10,9,10,9,1
mosaic_0104.txt,8,17,8,17,8,9
mosaic_0105.txt,9,9,9,9,9,0
mosaic_0106.txt,15,25,15,25,15,10
mosaic_0107.txt,10,15,10,15,10,5
mosaic_0108.txt,13,15,13,15,13,2
mosaic_0109.txt,6,6,6,6,6,0
mosaic_0110.txt,8,11,8,11,8,3
mosaic_0111.txt,18,28,18,28,18,10
mosaic_0112.txt,12,17,12,17,12,5
mosaic_0113.txt,8,14,8,14,8,6
mosaic_0114.txt,6,6,6,6,6,0
mosaic_0115.txt,5,10,5,10,5,5
mosaic_0116.txt,12,15,11,15,11,4
mosaic_0117.txt,7,15,7,15,7,8
mosaic_0118.txt,10,12,10,12,10,2
mosaic_0119.txt,27,37,27,37,27,10
mosaic_0120.txt,6,9,6,9,6,3
mosaic_0121.txt,28,37,28,37,28,9
mosaic_0122.txt,6,9,6,9,6,3
mosaic_0123.txt,9,13,9,13,9,4
mosaic_0124.txt,7,14,7,14,7,7
mosaic_0125.txt,11,15,11,15,11,4
mosaic_0126.txt,16,24,16,24,16,8
mosaic_0127.txt,5,6,5,6,5,1
mosaic_0128.txt,18,25,18,25,18,7
mosaic_0129.txt,21,27,21,27,21,6
mosaic_0130.txt,27,32,27,32,27,5
mosaic_0131.txt,7,14,7,14,7,7
mosaic_0132.txt,10,15,10,15,10,5
mosaic_0133.txt,5,12,5,12,5,7
mosaic_0134.txt,5,6,5,6,5,1
mosaic_0135.txt,16,18,16,18,16,2
mosaic_0136.txt,15,18,15,18,15,3
mosaic_0137.txt,14,13,12,14,12,2
mosaic_0138.txt,7,7,7,7,7,0
mosaic_0139.txt,13,17,13,17,13,4
mosaic_0140.txt,8,14,8,14,8,6
mosaic_0141.txt,28,31,28,31,28,3
mosaic_0142.txt,7,12,7,12,7,5
mosaic_0143.txt,16,21,15,21,15,6
mosaic_0144.txt,16,18,16,18,16,2
mosaic_0145.txt,12,16,12,16,12,4
mosaic_0146.txt,13,19,13,19,13,6
mosaic_0147.txt,6,7,6,7,6,1
mosaic_0148.txt,12,20,12,20,12,8
mosaic_0149.txt,13,17,13,17,13,4
